ano,titulo,local
2016,2ª Mostra de Arte Urbana,"Complexo Cultural Cora Coralina - Goiânia, GO"
2015,We are Art,"Bar Centro - Barcelona, Espanha"
2015,Ir Além,"Galeria Arquetipus - Brasília, DF"
2015,Das Raízes às Pontas,"Cine Brasília - Brasília, DF"
2015,Brasília sem Planos,"Galeria Luis Maluf ­- São Paulo, SP"
2015,Brasília Urbana,"ParkShopping - Brasília, DF"
2015,,"Galeria Upoint - Goiânia, GO"
2014,Urban Arts,"Brasília, DF"
2012,Voices Elect,"Miami Art Basel ­ - Miami, Flórida (EUA)"
2012,Arte Radical,"Espaço ECCO - Brasília, DF"